BARRIO,NOMBRE_BARRIO,NOMBRE_COMUNA
0313,María Cano Carambolas,MANRIQUE
9078,Suburbano El Cerro,SANTA ELENA
0312,Oriente,MANRIQUE
1503,Trinidad,GUAYABAL
6009,Pedregal Alto,SAN CRISTOBAL
0104,Granizal,POPULAR
1303,Santa Rosa de Lima,SAN JAVIER
1616,Las Violetas,BELEN
1401,Barrio Colombia,EL POBLADO
0406,Universidad de Antioquia,ARANJUEZ
1408,Altos del Poblado,EL POBLADO
1020,San Diego,LA CANDELARIA
1006,San Benito,LA CANDELARIA
0806,Llanaditas,VILLA HERMOSA
0611,El Progreso No.2,DOCE DE OCTUBRE
6007,El Llano,SAN CRISTOBAL
0515,Cementerio Universal,CASTILLA
0715,Villa Flora,ROBLEDO
0815,Las Estancias,VILLA HERMOSA
1116,U.D. Atanasio Girardot,LAURELES
0502,Las Brisas,CASTILLA
1615,Los Alpes,BELEN
0915,Asomadera No. 2,BUENOS AIRES
1610,El Rincón,BELEN
0702,B. Cerro  El Volador,ROBLEDO
0908,Miraflores,BUENOS AIRES
0415,Miranda,ARANJUEZ
9003,El Plan,SANTA ELENA
8004,La Oculta,SAN ANTONIO DE PRADO
0304,Santa Inés,MANRIQUE
6011,Pajarito,SAN CRISTOBAL
0607,Kennedy,DOCE DE OCTUBRE
1311,Belencito,SAN JAVIER
1611,Loma de los Bernal,BELEN
0713,Aures No.1,ROBLEDO
1613,Altavista,BELEN
0109,Aldea Pablo VI,POPULAR
1504,Santa Fé,GUAYABAL
1603,Belén,BELEN
0503,Florencia,CASTILLA
0706,La Pilarica,ROBLEDO
1117,Florida Nueva,LAURELES
1510,Guayabal,GUAYABAL
1103,Naranjal,LAURELES
0417,Parque Norte,ARANJUEZ
1213,Calasanz Parte Alta,LA AMERICA
0511,Castilla,CASTILLA
1013,Barrio Colón,LA CANDELARIA
0517,Caribe,CASTILLA
0101,Santo Domingo Savio No. 1,POPULAR
0714,Bello Horizonte,ROBLEDO
0409,Manrique Central No. 1,ARANJUEZ
6006,La Cuchilla,SAN CRISTOBAL
0516,Terminal de Transporte,CASTILLA
6002,La Palma-El Patio,SAN CRISTOBAL
6098,Área de Expansión Pajarito,SAN CRISTOBAL
5088,Suburbano La Aldea,PALMITAS
0110,La Esperanza No. 2,POPULAR
1109,Las Acacias,LAURELES
7084,Buga Patio Bonito,ALTAVISTA
0107,San Pablo,POPULAR
0801,Villa Hermosa,VILLA HERMOSA
0910,La Milagrosa,BUENOS AIRES
6086,Suburbano La Cuchilla,SAN CRISTOBAL
1001,Prado,LA CANDELARIA
0603,Doce de Octubre No.2,DOCE DE OCTUBRE
1612,La Gloria,BELEN
0105,Moscú No. 2,POPULAR
0204,La Frontera,SANTA CRUZ
1003,Jesús Nazareno,LA CANDELARIA
0207,Villa del Socorro,SANTA CRUZ
0813,Villatina,VILLA HERMOSA
9085,Suburbano El Llano,SANTA ELENA
1307,Juan XXIII La Quiebra,SAN JAVIER
6013,El Carmelo,SAN CRISTOBAL
6014,Yolombo,SAN CRISTOBAL
9082,Suburbano Chacaltaya,SANTA ELENA
0805,Batallón Girardot,VILLA HERMOSA
0210,Santa Cruz,SANTA CRUZ
0708,Altamira,ROBLEDO
1108,Laureles,LAURELES
9088,Suburbano Matasano 2,SANTA ELENA
7087,Suburbano Altavista,ALTAVISTA
0311,La Cruz,MANRIQUE
0507,Héctor Abad Gómez,CASTILLA
9008,Piedras Blancas,SANTA ELENA
1318,Antonio Nariño,SAN JAVIER
1202,Calasanz,LA AMERICA
9086,SUBURB El Plan,SANTA ELENA
0719,Fuente Clara,ROBLEDO
0605,La Esperanza,DOCE DE OCTUBRE
9077,Suburbano el Tesoro,SANTA ELENA
