"NOMBRE_BAR","NOMBRE_COM","Riesgo","colores"
"Villa del Socorro","SANTA CRUZ","Moderado","#ffa333"
"Villatina","VILLA HERMOSA","Moderado","#ffa333"
"Suburbano El Llano","SANTA ELENA","Moderado","#ffa333"
"Juan XXIII La Quiebra","SAN JAVIER","Moderado","#ffa333"
"El Carmelo","SAN CRISTOBAL","No aplica","#808080"
"Yolombo","SAN CRISTOBAL","Moderado","#ffa333"
"Suburbano Chacaltaya","SANTA ELENA","No aplica","#808080"
"Batallón Girardot","VILLA HERMOSA","Moderado","#ffa333"
"Santa Cruz","SANTA CRUZ","Moderado","#ffa333"
"Altamira","ROBLEDO","Bajo","#006400"
"Laureles","LAURELES","Bajo","#006400"
"Suburbano Matasano 2","SANTA ELENA","No aplica","#808080"
"Suburbano Altavista","ALTAVISTA","Moderado","#ffa333"
"La Cruz","MANRIQUE","Moderado","#ffa333"
"Héctor Abad Gómez","CASTILLA","Bajo","#006400"
"Piedras Blancas","SANTA ELENA","Moderado","#ffa333"
"Antonio Nariño","SAN JAVIER","Moderado","#ffa333"
